STRIKE_PRICE,09:30:32,09:35:12,09:40:14,09:46:12,09:50:14,10:00:38,10:05:14,10:10:46,10:15:16,10:22:00,10:25:16,10:30:16,10:35:56,10:40:18,10:47:00,10:52:00
"17,350.00",-,-,-,-,20,26,28,28,28,28,28,28,28,28,28,35
"17,400.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"17,450.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"17,500.00",-4,-4,-23,-23,-24,47,46,39,39,38,38,38,38,38,44,44
"17,550.00",-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1
"17,600.00",-,-,-,-,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"17,650.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"17,700.00",-,-1,-,1,5,5,5,5,5,5,5,5,5,5,5,5
"17,750.00",-,-,-2,-2,1,1,2,4,8,4,4,4,4,4,4,4
"17,800.00",9,9,12,12,10,7,7,7,7,2,2,1,-16,-16,-16,-16
"17,850.00",-,-,-1,-1,-1,-1,-1,-1,-1,-4,-4,-4,-4,-4,-4,-4
"17,900.00",2,-6,-9,-72,-74,-77,-77,-77,-77,-77,-78,-78,-77,-83,-83,-83
"17,950.00",-,4,20,20,20,19,17,16,16,16,16,16,15,15,15,14
"18,000.00",249,138,185,205,160,132,162,174,218,236,247,319,253,254,275,246
"18,050.00",8,3,-21,-19,-13,-24,-24,-24,-19,-18,-12,-12,-16,-21,-21,-22
"18,100.00",-32,-4,12,-48,-34,-7,-20,-12,-10,-9,-9,-11,12,13,-18,3
"18,150.00",-12,-26,-34,-47,-62,-74,-74,-77,-76,-55,-65,-66,-56,-56,-46,-46
"18,200.00",-23,"1,146","2,395","2,533","2,639","5,059","5,758","5,664","5,819","5,766","5,758","6,015","6,048","6,058","6,112","6,095"
"18,250.00",191,139,130,110,127,158,148,227,139,147,134,165,157,162,150,136
"18,300.00","1,659","1,711","1,874","1,901","2,013","1,782","2,235","3,136","3,160","3,333","3,518","3,557","3,688","3,692","3,558","3,566"
"18,350.00",571,431,"1,556","1,931","2,771","2,654","2,859","3,191","3,174","3,362","3,417","3,512","3,565","3,662","3,769","3,797"
"18,400.00","1,132","1,604","5,719","12,084","13,457","12,713","14,348","15,569","15,976","16,590","17,414","17,614","17,155","16,862","17,205","17,629"
"18,450.00","12,544","15,173","16,174","18,572","21,323","20,061","19,591","20,487","20,474","20,531","20,682","20,903","20,725","21,270","21,184","21,359"
"18,500.00","48,884","56,983","64,928","70,688","78,260","83,947","91,018","93,551","95,855","1,01,478","1,03,043","1,05,443","1,07,030","1,07,409","1,07,862","1,10,082"
"18,550.00","14,295","16,173","19,378","20,487","22,175","21,997","22,244","22,831","22,842","22,224","22,387","22,720","24,114","24,500","25,383","25,784"
"18,600.00","35,820","43,492","45,760","50,277","56,155","54,393","58,889","62,434","62,902","62,514","62,904","63,405","64,012","63,841","63,752","63,863"
"18,650.00","8,798","10,253","11,373","12,118","13,786","14,964","15,736","16,503","16,574","16,793","17,177","18,004","19,799","19,661","19,783","20,099"
"18,700.00","18,938","20,928","23,705","26,783","30,099","29,555","29,986","32,467","33,711","34,795","34,424","35,277","36,982","37,725","38,678","38,386"
"18,750.00","7,813","8,377","10,204","11,724","12,647","12,591","12,845","13,991","14,296","14,455","14,405","14,629","15,064","15,336","15,892","15,774"
"18,800.00","13,581","16,249","16,139","18,070","19,868","24,131","25,516","27,654","28,106","30,289","31,704","32,365","34,303","34,439","33,879","34,016"
"18,850.00","6,471","9,153","14,387","14,649","16,641","17,584","18,738","19,110","19,342","19,761","19,712","19,842","20,861","21,171","21,299","21,113"
"18,900.00","10,812","15,603","17,349","18,183","19,690","20,070","21,621","21,736","21,732","22,705","23,099","23,752","23,375","23,592","23,749","23,913"
"18,950.00","6,456","7,301","7,782","7,984","7,947","9,321","10,956","11,726","11,906","12,110","11,954","11,901","11,559","11,568","11,593","11,578"
"19,000.00","22,769","30,430","34,682","36,125","41,434","43,532","56,030","58,322","58,335","57,478","56,614","56,941","57,495","58,018","58,910","59,138"
"19,050.00","4,742","5,854","7,063","7,771","8,033","9,007","10,280","10,293","10,403","10,556","10,872","10,831","10,466","10,284","10,311","10,235"
"19,100.00","5,729","7,555","8,416","8,754","9,088","10,387","11,879","12,234","12,553","12,369","12,639","13,409","13,298","13,040","12,867","12,811"
"19,150.00","1,475","2,192","3,439","3,555","3,787","3,761","3,702","4,047","3,963","3,616","3,764","3,824","3,821","3,796","3,809","3,904"
"19,200.00","8,019","9,742","15,905","17,170","18,252","19,075","19,241","19,643","19,420","19,776","19,628","20,078","21,210","21,176","21,267","21,708"
"19,250.00",821,963,827,804,852,891,802,714,703,759,678,678,712,714,667,601
"19,300.00","6,780","7,554","8,283","8,856","10,263","10,184","10,023","9,590","9,363","9,151","9,164","9,186","9,289","9,296","9,367","9,561"
"19,350.00",366,407,411,411,536,533,525,525,525,579,604,604,597,597,668,685
"19,400.00","1,161",572,791,"2,631","2,013","2,748","1,695","2,437","2,396","3,513","2,904","2,912","3,260","3,656","3,360","3,369"
"19,450.00",371,371,307,610,613,589,638,688,688,669,644,561,559,562,550,542
"19,500.00","5,158","5,162","5,822","13,863","19,374","20,288","21,780","21,704","22,339","22,114","22,874","23,362","23,572","23,522","25,241","25,458"
"19,550.00",74,183,63,346,416,412,361,320,360,355,375,375,379,381,398,328
"19,600.00",973,951,"1,183","1,854","2,008","2,039","2,578","3,078","3,080","3,419","4,753","4,936","4,936","4,936","4,835","4,835"
"19,650.00",76,185,163,299,295,317,264,245,251,292,296,296,296,339,383,383
"19,700.00","2,826","2,909","3,684","7,367","7,364","7,412","7,628","8,221","8,302","8,094","7,709","7,846","7,999","8,148","8,670","8,692"
"19,750.00",11,11,70,90,129,141,76,77,79,94,94,94,94,95,74,80
"19,800.00","2,810","3,092","3,154","3,934","3,385","3,688","4,035","5,058","5,170","5,272","5,254","5,259","5,194","5,194","5,298","5,273"
"19,850.00",96,197,170,341,364,371,370,370,370,372,372,381,379,379,379,379
"19,900.00","5,194","5,192","5,915","7,945","7,824","7,797","7,792","7,796","7,823","7,738","7,738","7,738","7,645","7,630","7,572","7,572"
"19,950.00",127,139,552,615,615,651,623,623,623,621,621,621,621,621,623,695
"20,000.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
